content_id,content_title_h1,content_title_description,content_class_main,content_class_sub,content_date_time,content_tag
,產線搬進美國卻沒少賺！美的家電稱霸全球的低成本秘密 - 商業周刊第1882期 - 商周線上讀,中國美的集團在2021年翻身成為全球營收第一的家電霸主，今年前3季營收、淨利表現，也持續與主要對手拉開差距中，更令人吃驚的是，它在美國、德國、義大利、日本等全球十多座海外製造基地合計占營收逾4成，但相較於中國製造的毛利率，落差卻僅約1個百分點。商周獨家直擊美的五大工廠，揭開它將產線移至歐美、競爭力卻不受影響的關鍵秘密，在於「低成本智慧製造」十年改革。,中國焦點, ,2023-12-07,"美的,格力,家電,低成本,智慧製造,產線,工廠"
,全球家電王崛起的關鍵推手，竟是一名神秘台灣軍師 - 商業周刊第1882期 - 商周線上讀,全球最大家電公司美的集團低成本智慧製造（LCIM）轉型背後最重要的推手，是來自台灣的軍師、今年59歲的台灣永續企業經營協會總顧問詹志輝。他與台廠一起鑽研美國精實生產（Lean Production）理論，並嘗試在台灣落實到製造業，幫助兩岸業者打造更高效率的生產線，最終在美的集團練出這套低成本智慧製造商模。,中國焦點, ,2023-12-07,"美的,詹志輝,何享健,智慧製造,低成本,精實生產"
https://www.businessweekly.com.tw/Event/site/consultants100/pwc_list,,,,,,
https://www.businessweekly.com.tw/Event/site/consultants100/,,,,,,
,美國新創車企賣一輛賠一輛　鴻海電動車大業會被拖累嗎？ - 商業周刊第1882期 - 商周線上讀,鴻海合作夥伴、美國新創車企Fisker在11月中公布第3季財報，該公司不只營收遜色，虧損慘重，但根據研調機構，今年美國電動車銷量卻是突破百萬大關，持續看好。為何美國電動車市場在成長，新創車企卻銷售卡關？主因是它們面臨特斯拉掀起的降價大戰，一方面又吃不到拜登政府的政策紅利，陷入泡沫化危機。這是否會讓想靠著新創車企站穩汽車代工大業的鴻海被拖累？引發關注。,科技風雲, ,2023-12-07,"鴻海,電動車,特斯拉,新創,Fisker,Lucid"
,一戶319萬！大台北罕見低總價法拍，12/20重啟投標,前遠航董事長張綱維旗下淡水小坪頂「環遊郡」、「海景山莊」日前公告法拍。一戶只要3百多萬的大台北少見低總價案，原開標日吸引許多購屋人，當天卻因債務人聲明異議而公告停拍。台灣金服最新公告，此一法拍案將在1,財經,地產風雲,2023/12/07," 法拍, 房市,房價"
,泰勒絲獨獲時代「2023年度風雲人物」，演藝圈第一人！,美國「時代雜誌」2023年度風雲人物，由美國人氣女歌手泰勒絲（Taylor Swift）獲得殊榮。她也是時代雜誌評選年度風雲人物96年來，第一位單獨獲選的藝人。泰勒絲是從國國家主席習近平、OpenAI,國際,全球話題,2023/12/07," 年度風雲人物,時代雜誌, 泰勒絲"
,存摺留一本、錢包只放5張卡！勤記帳還是存不了錢...跟日本理財顧問學7種「財富整理法」,在《金錢整理：只要收拾存摺、冰箱和另一半，錢會自然流向你》一書的作者簡介洋洋灑灑介紹了今年 42 歲的市居愛，除了是 2 個孩子的母親外，同時也是日本婦女生活輔導顧問公司「Mother Me」的負責人,財經,投資理財,2018/12/10,"存不了錢,錢包,存摺,記帳"
,職場上比能力強更重要的事：在利益之前，還能相信他人有善意,可靠，是比聰明更重要的特質，也是一個人最大的無形資產。可靠至少可以分為3個層級。可靠的第一層是做事可靠：你交代的事情，下屬能按時完成；有開始就有結束，不會石沉大海。第二層是值得托付，看事情能看到問題，,職場,職場修練,2023/12/04,"成長,可靠,職場,特質,管理"
,財富是靠「聊天」聊出來的！有錢人才知道的3分鐘「精準閒聊法」,在介紹富翁與閒聊的關係之前，我們要先知道財富的原理原則。那就是「良緣生良元」。無論在什麼時代、做什麼生意，財富都是從與他人結緣而生，幾乎所有我知道的有錢人，都非常重視這個原則。 就算每天到寺廟祈求神明,財經,投資理財,2018/06/11,"財富,人才,有錢人,聊天"
,瑞士LA PRAIRIE頂級無齡醫學中心進駐台北，與台灣君綺醫美攜手打造高端煥活新體驗,過去近一世紀以來，許多世界名流都曾經造訪瑞士日內瓦湖畔的蒙特勒，不僅因為此處風景如畫，更因為這裡是高端無齡醫學中心，Clinique La Prairie (CLP) 的所在地。,財經,產業動態,2023/11/30,"長壽醫學,無齡醫學中心,Clinique La Prairie"
,產品越少見，他們越會賣　LG、大同家電爆品推手曝光 - 商業周刊第1882期 - 商周線上讀,伊萊克斯無線濕拖吸塵器、LG可移動觸控電視閨蜜機、結合充電與茶几的空氣清淨機⋯這些新概念家電如何變爆品？開賣新產品，市調問卷如何設計？他們是爆器顧問，用3步驟幫品牌打破迷思，重新包裝產品優勢、釐清賣點，並跨出原有想像客群，設計圖像化溝通的問卷，勾勒品牌印記。,產業風雲, ,2023-12-07,"爆器,集資,LG,大同,問卷,伊萊克斯,廣告投放"
