content_id,content_title_h1,content_title_description,content_class_main,content_class_sub,content_date_time,content_tag
5128831?utm_campaign=line_cw-social-daily-230105-5128831&utm_source=line_cw&utm_medium=social,天虹邊賣魚邊製造　台灣首家量產半導體設備商，如何讓蘋果買單？,國際大廠霸佔的高精密、高技術的半導體前端設備，出現破口。台灣的天虹科技，如何憑藉來自應用材料的三位高管，後進市場，兩年內完成量產半導體等級設備的實績？,產業,科技,2024-01-04,"蘋果,天虹,晶電,應用材料,半導體,化合物,台積,晶圓製程設備"
5128833?utm_source=line_cw&utm_medium=social&utm_campaign=line_cw-social-daily-240105-5128833,中東大亂鬥　伊斯蘭國為何選在此時炸伊朗英雄公墓？,銷聲匿跡許久的好戰組織伊斯蘭國，為何選在以哈衝突、中東情勢正炙之下，狂炸伊朗戰爭英雄公墓？,國際,亞洲,2024-01-05,"伊斯蘭國,IS,以哈衝突,中東,伊朗,以色列,穆斯林"
5128832?utm_source=line_cw&utm_medium=social&utm_campaign=line_cw-social-daily-240105-5128832,天下晨間新聞　那斯達克連五跌，怎麼了｜強勢通路說了算，不降價就下架,蘋果連遭降評，那斯達克連五跌。強勢通路說了算，不降價就下架。,財經,財經焦點,2024-01-05,"蘋果,聯準會,債券,殖利率,AI PC,微軟,家樂福,百事"
5118664?utm_source=line_cw&utm_medium=social&utm_campaign=line_cw-social-deeplink-240105-5118664&_branch_match_id=1272754352749188693&_branch_referrer=H4sIAAAAAAAAA8soKSkottLXTywoyMnMy9ZLLtdLzs%2FVKynXL8qxrMgxDzMwcUsCAEEzAUUlAAAA,60歲練成40歲卻差點沒命，羅明通墜馬病危的人生體悟,認識律師羅明通的人都知道，他不只是專業領域的箇中好手，更是冒險的實踐家。遊遍世界後竟意外墜馬差點失去生命，現在的羅明通慢下腳步，展開了一場完全不同的冒險。,人物,人物特寫,2021-10-25,"羅明通,第三人生,馬術運動,樂活,退休"
5128830?utm_source=line_cw&utm_medium=social&utm_campaign=line_cw-social-daily-240105-5128830,3個原因　生成式AI還沒辦法成為大規模賺錢機器,許多人稱2023是AI革命的元年，但「AI革命」可能沒這麼快。為什麼生成式AI還沒辦法成為主流應用？,產業,科技,2024-01-04,"生成式AI,AI,AI應用,ChatGPT,AI投資"
X,,,,,,
5128836?template=fashion&utm_source=line_cw&utm_medium=social&utm_campaign=line_cw-social-daily-240105-5128836,愛妻子也愛男人、25演到70歲　布萊德利庫柏第二封音樂情書《大師風華》,Netflix電影《大師風華：真愛樂章》在今年頒獎季來勢洶洶，描寫傳奇音樂大師伯恩斯坦一生兩大摯愛：音樂與人們，以及這兩份愛本質的矛盾：他愛指揮也愛創作，愛妻子也愛男人。,Off學,文化,2024-01-05,"大師風華：真愛樂章,布萊德利庫柏,Leonard Bernstein,凱莉墨里根,奧斯卡,好萊塢,電影"
5128820?utm_source=line_cw&utm_medium=social&utm_campaign=line_cw-social-daily-240105-5128820,別再新年新失望　營養學家：2024減肥「4吃法」,2024年想減重，又沒錢打瘦瘦針，怎麼管住自己的嘴巴？澳洲營養學家布芮兒（Susie Burrell）分享4個簡單的飲食守則。,運動生活,生活,2024-01-04,"減肥,減重,營養師,營養,減脂,增肌,地中海,低碳,減糖,純素,糖尿病,肥胖"
5074125?template=fashion&_branch_match_id=1272755746656759689&_branch_referrer=H4sIAAAAAAAAA8soKSkottLXTy5PLCjQA%2BGczLxs%2FYKo4tDiHD9zU7ckAFw82d4iAAAA&utm_campaign=line_cw-social-deeplink&utm_medium=social&utm_source=line_cw,劉若英X王浩威 完美的相處是窩在愛人懷裡孤獨,英國心理學家唐納德・溫尼科特說，完美的相處關係是「窩在愛人懷裡孤獨」，這是說，剛開始戀愛的情人總有說不完的話，但時間長了之後，總會走到無話可說的片刻，有些人碰到這種狀況就會感到緊張與不安全，深怕兩個人的關係無法繼續，但真正成熟美好的關係是─即使兩人暫時無話可說也無所謂，相對無言，就暫時沈默，可以靜靜地躺在對方的懷裡孤獨，這是兩人相處互相信任的極致表現，也是最高境界。,Off學,風格,2016-01-22,"劉若英,王浩威,獨處,孤獨"
5128713?utm_source=line_cw&utm_medium=social&utm_campaign=line_cw-social-daily-240105-5128713,「中國良心」高耀潔　葬禮上出現的陌生人,【北京之外專欄】揭發河南愛滋大流行禍源，被稱「中國良心」，高耀潔流亡美國14年，她的辭世，出乎意料地凝聚起人心。,國際,兩岸,2023-12-26,"河南,愛滋,流亡,高耀潔,北京之外"
